2025-10-28 08:55:29 | ex-jw.org | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:30 | us.tf | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 179.35 ms | Cache MISS
2025-10-28 08:55:30 | us.tf | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:30 | us.tf | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 303.86 ms | Cache MISS
2025-10-28 08:55:30 | us.tf | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:30 | us.tf | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 124.96 ms | Cache MISS
2025-10-28 08:55:30 | us.tf | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:31 | informarexresistere.fr | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 179.15 ms | Cache MISS
2025-10-28 08:55:31 | informarexresistere.fr | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:31 | informarexresistere.fr | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 296.87 ms | Cache MISS
2025-10-28 08:55:31 | informarexresistere.fr | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:31 | informarexresistere.fr | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 140.41 ms | Cache MISS
2025-10-28 08:55:31 | informarexresistere.fr | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:32 | running-sigi.de | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 178.85 ms | Cache MISS
2025-10-28 08:55:32 | running-sigi.de | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:32 | running-sigi.de | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 301.46 ms | Cache MISS
2025-10-28 08:55:32 | running-sigi.de | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:32 | running-sigi.de | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 114.37 ms | Cache MISS
2025-10-28 08:55:32 | running-sigi.de | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:33 | buynowfromusa.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 180.80 ms | Cache MISS
2025-10-28 08:55:33 | buynowfromusa.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:33 | buynowfromusa.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 290.35 ms | Cache MISS
2025-10-28 08:55:33 | buynowfromusa.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:33 | buynowfromusa.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 113.57 ms | Cache MISS
2025-10-28 08:55:33 | buynowfromusa.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:34 | pbprofile.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 192.81 ms | Cache MISS
2025-10-28 08:55:34 | pbprofile.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:34 | pbprofile.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 293.23 ms | Cache MISS
2025-10-28 08:55:34 | pbprofile.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:34 | pbprofile.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 125.19 ms | Cache MISS
2025-10-28 08:55:34 | pbprofile.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:35 | fini.net | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 191.02 ms | Cache MISS
2025-10-28 08:55:35 | fini.net | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:35 | fini.net | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 295.80 ms | Cache MISS
2025-10-28 08:55:35 | fini.net | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:35 | fini.net | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 124.20 ms | Cache MISS
2025-10-28 08:55:35 | fini.net | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 08:55:36 | gmxwnlajnl | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 187.28 ms | Cache MISS
2025-10-28 08:55:36 | gmxwnlajnl | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 292.11 ms | Cache MISS
2025-10-28 08:55:36 | gmxwnlajnl | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 147.02 ms | Cache MISS
2025-10-28 08:55:37 | djoncbjcmv | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 177.07 ms | Cache MISS
2025-10-28 08:55:37 | djoncbjcmv | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 303.21 ms | Cache MISS
2025-10-28 08:55:37 | djoncbjcmv | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 134.99 ms | Cache MISS
