2025-10-28 09:33:53 | urbannetwork.co.uk | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:53 | urbannetwork.co.uk | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 136.08 ms | Cache MISS
2025-10-28 09:33:53 | urbannetwork.co.uk | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:54 | synrc.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 192.28 ms | Cache MISS
2025-10-28 09:33:54 | synrc.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:54 | synrc.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 294.24 ms | Cache MISS
2025-10-28 09:33:54 | synrc.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:54 | synrc.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 115.68 ms | Cache MISS
2025-10-28 09:33:54 | synrc.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:55 | callcomm.info | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 179.27 ms | Cache MISS
2025-10-28 09:33:55 | callcomm.info | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:55 | callcomm.info | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 293.67 ms | Cache MISS
2025-10-28 09:33:55 | callcomm.info | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:55 | callcomm.info | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 115.20 ms | Cache MISS
2025-10-28 09:33:55 | callcomm.info | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:56 | ceskykutil.cz | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 180.54 ms | Cache MISS
2025-10-28 09:33:56 | ceskykutil.cz | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
